date,debit_massique_de_la_pulpe_a_lentree_thickener,debit_volumique_de_pulpe_a_lentree_thikner_,debit_massique_de_la_pulpe_sortie_thickener_,debit_volumique_de__de_la_pulpe_sortie_thikner__thickener_,debit_pompe_de_circulation_,densite_pulpe__pompe_de_circulation,densite_pulpe_sortie__thickener,densite_pulpe_entre__thickener,debit_de_floculent_p1,debit_de_floculent_p2,pression_du_lit_de_pulpe_de_phosphate,couple_de_racleur,niveau_du_lit,turbidite_deau_claire_du_thickener
2024-03-01 01:06:00,255.9104287,470.2653155,255.6539856,255.9832014,311.4282857,1651.056339,1655.773834,1500.0,2610.38926,6.224370257,1.244758988,13.38817479,2.377415744,94.10651
2024-03-01 01:07:00,260.1561852,475.8559079,262.2058434,254.1749526,314.3713597,1650.688386,1653.726004,1500.0,2699.105382,0.338984145,1.242066734,13.38219426,2.377422472,92.9789607
2024-03-01 01:08:00,259.7578937,473.5181788,252.3042839,252.6860749,307.9777252,1651.782651,1655.707781,1500.0,2698.515451,9.881504072,1.24190343,13.21666954,2.37740733,87.16632956
2024-03-01 01:09:00,264.0919279,470.9068629,252.120981,250.2223881,318.4157924,1653.461339,1655.889968,1500.0,2676.861055,0.366066153,1.243573349,13.34671464,2.376987416,98.18135429
2024-03-01 01:10:00,268.6156435,477.5769323,261.7706703,252.8068556,316.6761318,1649.419819,1653.318924,1500.0,2566.50864,0.361222801,1.2417529,13.32906307,2.37624383,96.76186072
2024-03-01 01:11:00,266.5904837,468.5273693,255.3098276,255.9453404,309.2425693,1647.136047,1653.439424,1500.0,2615.983558,0.34959101,1.24035431,13.09715884,2.377169757,90.48184716
2024-03-01 01:12:00,263.2265804,481.0679677,254.9774482,256.0688327,316.9996644,1649.278104,1653.600243,1500.0,2710.253907,0.321839917,1.241946157,13.21048592,2.377590145,86.49483776
2024-03-01 01:13:00,263.7469889,482.0164084,263.3347509,254.7171497,307.7013794,1649.47539,1652.176746,1500.0,2637.768918,4.876452996,1.243096673,13.37025946,2.377423489,92.03325834
2024-03-01 01:14:00,263.4805811,467.0589535,255.3849568,254.8819602,314.1920593,1651.639456,1650.797816,1500.0,2683.161707,8.123322176,1.239480697,13.31708863,2.375879569,89.74883072
2024-03-01 01:15:00,260.3793449,473.0050478,257.8023811,254.8123565,315.7661631,1652.980381,1651.646582,1500.0,2668.244261,25.57698932,1.241502408,13.1687813,2.375123262,69.45188924
2024-03-01 01:16:00,262.1380082,487.4042912,264.6723411,255.1871797,314.7730734,1652.358785,1652.585434,1500.0,2591.081724,0.34313101,1.24291695,13.32537073,2.373802618,93.56353501
2024-03-01 01:17:00,271.8660741,472.0445962,254.7940158,257.4670776,316.8172121,1649.347699,1651.246139,1500.0,2613.725231,0.303869153,1.239859842,13.28255994,2.371471218,93.50537167
2024-03-01 01:18:00,273.488149,466.4425916,251.8806369,257.9659014,308.9480203,1649.536729,1653.616439,1500.0,2718.242706,0.325599658,1.240191501,13.14615531,2.369813658,78.92669048
2024-03-01 01:19:00,271.47127,411.3873645,257.2853555,253.4337391,318.2587357,1649.51719,1653.633234,1500.0,2636.037472,0.303670279,1.242012611,13.22425967,2.369218089,91.54781728
2024-03-01 01:20:00,266.3583261,173.0080926,260.9523602,252.2699494,309.7192215,1648.982529,1652.765537,1500.0,2707.032319,0.312524355,1.241172518,13.33060296,2.366959257,96.77352402
2024-03-01 01:21:00,264.8559529,85.45871375,258.3970255,255.8091557,314.741094,1649.309206,1651.528482,1500.0,2709.632888,0.38635827,1.239622018,13.13816615,2.363110069,92.65155576
2024-03-01 01:22:00,263.7121603,65.57563496,263.1046288,256.2947385,319.5822466,1650.362139,1651.773251,1500.0,2605.490988,3.309969278,1.241084434,13.20475711,2.362527734,79.36404662
2024-03-01 01:23:00,262.5009201,61.27105298,256.08714,256.2460427,316.8260568,1648.92892,1651.12719,1500.0,2632.332897,11.37124452,1.241558409,13.30369533,2.36143462,105.395637
2024-03-01 01:24:00,261.5346848,60.42105732,251.786178,256.7136218,314.9135183,1647.167666,1650.761029,1500.0,2702.410581,9.633559348,1.238909175,13.16188444,2.361506996,107.6478074
2024-03-01 01:25:00,265.9736242,59.83847528,258.7480208,255.1720806,311.0716883,1646.99404,1651.21166,1500.0,2623.905161,0.315724185,1.240302745,13.09660131,2.362779619,87.07169097
